# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec  2 03:24:48 2025
#
# User preference: *
#
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
#
loc_rowid,hostname,sy_snum,sy_pnum,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_age,st_ageerr1,st_ageerr2,st_agelim
626,HD 125612,2,3,5900.00,18.00,-18.00,0,1.070000,0.020000,-0.020000,0,1.050000,0.131000,-0.131000,0,0.2300,0.0140,-0.0140,0,1.7700,1.2400,-1.2400,0
627,HD 125612,2,3,5900.00,18.00,-18.00,0,1.070000,0.020000,-0.020000,0,1.050000,0.131000,-0.131000,0,0.2300,0.0140,-0.0140,0,1.7700,1.2400,-1.2400,0
628,HD 125612,2,3,5900.00,18.00,-18.00,0,1.070000,0.020000,-0.020000,0,1.050000,0.131000,-0.131000,0,0.2300,0.0140,-0.0140,0,1.7700,1.2400,-1.2400,0
629,HD 12648,1,1,4835.00,7.00,-7.00,0,11.020000,0.480000,-0.480000,0,0.670000,0.070000,-0.070000,0,-0.5700,,,0,4.5000,1.0000,-1.0000,0
630,HD 126525,1,1,5638.00,13.00,-13.00,0,0.979000,0.030000,-0.030000,0,0.897000,0.010000,-0.010000,0,-0.1000,0.0100,-0.0100,0,9.6700,1.3330,-1.3330,0
631,HD 12661,1,2,5645.00,31.00,-31.00,0,1.200000,0.020000,-0.020000,0,1.200000,0.100000,-0.100000,0,0.3600,,,0,6.3900,1.9400,-1.9400,0
632,HD 12661,1,2,5748.00,70.00,-70.00,0,1.110000,0.080000,-0.080000,0,1.020000,0.020000,-0.020000,0,0.3600,0.0300,-0.0300,0,6.3900,1.9400,-1.9400,0
633,HD 126614,3,1,5568.00,23.00,-23.00,0,1.369794,0.031487,-0.031487,0,0.960000,0.117000,-0.117000,0,0.5600,0.0400,-0.0400,0,7.2000,2.0000,-2.0000,0
634,HD 127506,1,1,4595.32,121.68,-167.13,0,0.735766,0.079308,-0.052954,0,0.730000,0.083000,-0.083000,0,-0.0800,0.0500,-0.0500,0,,,,
635,HD 128311,1,2,4965.00,44.00,-44.00,0,0.760000,0.020000,-0.020000,0,0.828000,0.008000,-0.012000,0,0.0800,0.0300,-0.0300,0,0.9600,,,1
636,HD 128311,1,2,4965.00,44.00,-44.00,0,0.760000,0.020000,-0.020000,0,0.828000,0.008000,-0.012000,0,0.0800,0.0300,-0.0300,0,0.9600,,,1
637,HD 128356,1,1,4875.00,100.00,-100.00,0,0.850000,0.020000,-0.020000,0,0.650000,0.050000,-0.050000,0,0.1700,0.1000,-0.1000,0,10.0000,5.0000,-5.0000,0
638,HD 129445,1,1,5646.00,42.00,-42.00,0,1.175816,0.014396,-0.008623,0,0.990000,,,0,0.2500,,,0,,,,
639,HD 130322,1,1,5387.00,44.00,-44.00,0,0.850000,0.040000,-0.040000,0,0.920000,0.030000,-0.030000,0,-0.0200,0.0300,-0.0300,0,0.3500,,,0
640,HD 131496,1,1,4846.00,,,0,4.440000,,,0,1.340000,,,0,0.2500,0.0300,-0.0300,0,2.7000,0.5000,-0.5000,0
641,HD 13167,1,1,5671.00,,,0,2.390000,,,0,1.350000,,,0,0.1900,0.1000,-0.1000,0,,,,
642,HD 13189,1,1,4175.00,33.00,-33.00,0,38.410000,4.840000,-4.840000,0,2.240000,0.880000,-0.880000,0,-0.3700,,,0,,,,
643,HD 132406,1,1,5766.00,23.00,-23.00,0,1.340000,0.040000,-0.040000,0,0.973000,0.040000,-0.040000,0,0.1293,0.0151,-0.0151,0,7.1870,0.6600,-0.6600,0
644,HD 132563,3,1,6289.00,128.13,-128.13,0,1.295770,0.070685,-0.043737,0,1.231000,0.217010,-0.152453,0,-0.0600,0.0400,-0.0400,0,2.3100,1.8860,-1.8860,0
645,HD 133131 A,2,3,5799.00,19.00,-19.00,0,0.955014,0.037412,-0.052146,0,0.950000,,,0,-0.3060,0.0160,-0.0160,0,9.7000,,,0
646,HD 133131 A,2,3,5799.00,19.00,-19.00,0,0.955014,0.037412,-0.052146,0,0.950000,,,0,-0.3060,0.0160,-0.0160,0,9.7000,,,0
647,HD 133131 B,2,3,5805.00,15.00,-15.00,0,0.989538,0.054364,-0.034199,0,0.930000,,,0,-0.2810,0.0130,-0.0130,0,9.7000,,,0
648,HD 134060,1,2,5966.00,14.00,-14.00,0,1.164285,0.009495,-0.018391,0,1.095000,,,0,0.1400,0.0100,-0.0100,0,5.6000,1.2800,-1.3200,0
649,HD 134060,1,2,5966.00,14.00,-14.00,0,1.164285,0.009495,-0.018391,0,1.095000,,,0,0.1400,0.0100,-0.0100,0,5.6000,1.2800,-1.3200,0
650,HD 134606,1,5,5576.00,86.00,-85.00,0,1.158000,0.039000,-0.036000,0,1.046000,0.070000,-0.059000,0,0.3430,0.0810,-0.0840,0,7.3000,3.6000,-3.4000,0
651,HD 134606,1,5,5576.00,86.00,-85.00,0,1.158000,0.039000,-0.036000,0,1.046000,0.070000,-0.059000,0,0.3430,0.0810,-0.0840,0,7.3000,3.6000,-3.4000,0
652,HD 134606,1,5,5576.00,86.00,-85.00,0,1.158000,0.039000,-0.036000,0,1.046000,0.070000,-0.059000,0,0.3430,0.0810,-0.0840,0,7.3000,3.6000,-3.4000,0
653,HD 134606,1,5,5576.00,86.00,-85.00,0,1.158000,0.039000,-0.036000,0,1.046000,0.070000,-0.059000,0,0.3430,0.0810,-0.0840,0,7.3000,3.6000,-3.4000,0
654,HD 134606,1,5,5576.00,86.00,-85.00,0,1.158000,0.039000,-0.036000,0,1.046000,0.070000,-0.059000,0,0.3430,0.0810,-0.0840,0,7.3000,3.6000,-3.4000,0
655,HD 134987,1,2,5736.00,17.00,-17.00,0,1.220000,0.030000,-0.030000,0,1.100000,0.070000,-0.070000,0,0.2800,,,0,8.4000,1.6000,-1.4000,0
656,HD 134987,1,2,5585.00,50.00,-50.00,0,1.250000,0.040000,-0.040000,0,1.100000,0.070000,-0.040000,0,0.2800,,,0,8.4000,1.6000,-1.4000,0
657,HD 135344 A,2,1,9540.00,100.00,-100.00,0,1.500000,0.010000,-0.010000,0,2.320000,0.319645,-0.340902,0,0.0500,,,1,,,,
658,HD 135625,1,1,6040.64,127.25,-91.52,0,1.357430,0.049349,-0.062722,0,1.280000,0.060000,-0.060000,0,0.1200,0.0500,-0.0500,0,4.4000,0.9000,-0.9000,0
659,HD 135694,1,1,5712.00,106.00,-106.00,0,1.080000,0.050000,-0.050000,0,1.020000,0.120000,-0.120000,0,-0.1210,0.0610,-0.0590,0,9.8000,2.0000,-2.0000,0
660,HD 135872,1,1,4992.00,25.00,-25.00,0,3.930380,,,0,1.646000,0.095000,-0.095000,0,0.0900,0.1000,-0.1000,0,,,,
661,HD 136118,1,1,6097.00,44.00,-44.00,0,1.677540,0.073353,-0.102728,0,1.180000,0.159000,-0.159000,0,-0.0500,0.0300,-0.0300,0,,,,
662,HD 136352,1,3,5664.00,61.00,-61.00,0,1.058000,0.019000,-0.019000,0,0.870000,0.040000,-0.040000,0,-0.2400,0.0500,-0.0500,0,12.3000,1.2000,-2.9000,0
663,HD 136352,1,3,5664.00,61.00,-61.00,0,1.058000,0.019000,-0.019000,0,0.870000,0.040000,-0.040000,0,-0.2400,0.0500,-0.0500,0,12.3000,1.2000,-2.9000,0
664,HD 136352,1,3,5664.00,61.00,-61.00,0,1.058000,0.019000,-0.019000,0,0.870000,0.040000,-0.040000,0,-0.2400,0.0500,-0.0500,0,12.3000,1.2000,-2.9000,0
665,HD 136418,1,1,4989.00,10.00,-10.00,0,3.780000,0.100000,-0.100000,0,1.480000,0.120000,-0.120000,0,-0.1100,,,0,4.0000,1.0000,-1.0000,0
666,HD 136925,1,1,5773.19,58.14,-58.14,0,1.193078,0.028381,-0.028381,0,0.875104,0.021614,-0.021614,0,-0.2172,0.0593,-0.0593,0,,,,
667,HD 13724,1,1,5835.31,205.39,-81.31,0,1.041980,0.064315,-0.048248,0,1.004000,0.055000,-0.055000,0,0.2169,0.0086,-0.0086,0,,,,
668,HD 137388,1,1,5181.00,29.00,-29.00,0,0.880000,0.010000,-0.010000,0,0.680000,0.050000,-0.050000,0,0.1900,,,0,6.4500,0.7400,-0.7400,0
669,HD 137496,1,2,5799.00,61.00,-61.00,0,1.590000,0.030000,-0.030000,0,1.040000,0.020000,-0.020000,0,-0.0300,0.0400,-0.0400,0,8.3000,0.7000,-0.7000,0
670,HD 137496,1,2,5799.00,61.00,-61.00,0,1.590000,0.030000,-0.030000,0,1.040000,0.020000,-0.020000,0,-0.0300,0.0400,-0.0400,0,8.3000,0.7000,-0.7000,0
671,HD 13808,1,2,5035.00,50.00,-50.00,0,0.781000,0.017000,-0.022000,0,0.771000,0.022000,-0.022000,0,-0.2100,0.0200,-0.0200,0,7.2000,4.8000,-4.8000,0
672,HD 13808,1,2,5035.00,50.00,-50.00,0,0.781000,0.017000,-0.022000,0,0.771000,0.022000,-0.022000,0,-0.2100,0.0200,-0.0200,0,7.2000,4.8000,-4.8000,0
673,HD 13908,1,2,6255.00,66.00,-66.00,0,1.670000,0.100000,-0.100000,0,1.290000,0.040000,-0.040000,0,0.0100,0.0400,-0.0400,0,2.9000,0.4000,-0.4000,0
674,HD 13908,1,2,6255.00,66.00,-66.00,0,1.670000,0.100000,-0.100000,0,1.290000,0.040000,-0.040000,0,0.0100,0.0400,-0.0400,0,2.9000,0.4000,-0.4000,0
675,HD 13931,1,1,5867.00,25.00,-25.00,0,1.250000,0.020000,-0.020000,0,1.300000,0.130000,-0.130000,0,0.0500,,,0,8.4000,2.0000,-2.0000,0
676,HD 139357,1,1,4700.00,70.00,-70.00,0,11.470000,0.750000,-0.750000,0,2.690000,0.258000,-0.258000,0,-0.1300,0.0500,-0.0500,0,3.0700,1.4700,-1.4700,0
677,HD 1397,1,1,5521.00,60.00,-60.00,0,2.336000,0.052000,-0.059000,0,1.324000,0.042000,-0.046000,0,0.2900,0.0900,-0.0900,0,4.5100,0.5000,-0.5000,0
678,HD 14067,1,1,4815.00,100.00,-100.00,0,12.400000,1.100000,-1.100000,0,2.400000,0.200000,-0.200000,0,-0.1000,0.0800,-0.0800,0,0.6900,0.2000,-0.2000,0
679,HD 140901,1,2,5610.00,21.00,-21.00,0,0.950000,0.030000,-0.020000,0,0.990000,0.124000,-0.124000,0,0.0859,0.0067,-0.0067,0,3.2000,2.8000,-2.8000,0
680,HD 140901,1,2,5610.00,21.00,-21.00,0,0.950000,0.030000,-0.020000,0,1.060000,0.050000,-0.050000,0,0.0859,0.0067,-0.0067,0,3.2000,2.8000,-2.8000,0
681,HD 141004,1,1,5885.38,94.35,-94.35,0,1.389372,0.032635,-0.032635,0,1.051904,0.051084,-0.051084,0,0.0247,0.0618,-0.0618,0,6.3200,0.8800,-1.5600,0
682,HD 141399,1,4,5600.00,40.00,-40.00,0,1.387236,0.031321,-0.031321,0,1.070000,0.080000,-0.080000,0,0.3500,0.0300,-0.0300,0,,,,
683,HD 141399,1,4,5600.00,40.00,-40.00,0,1.387236,0.031321,-0.031321,0,1.070000,0.080000,-0.080000,0,0.3500,0.0300,-0.0300,0,,,,
684,HD 141399,1,4,5600.00,40.00,-40.00,0,1.387236,0.031321,-0.031321,0,1.070000,0.080000,-0.080000,0,0.3500,0.0300,-0.0300,0,,,,
685,HD 141399,1,4,5600.00,40.00,-40.00,0,1.387236,0.031321,-0.031321,0,1.070000,0.080000,-0.080000,0,0.3500,0.0300,-0.0300,0,,,,
686,HD 141937,1,1,5870.00,9.00,-9.00,0,1.030000,0.010000,-0.010000,0,1.090000,0.050000,-0.050000,0,0.1100,,,0,2.3200,0.4100,-0.4100,0
687,HD 142,2,3,6245.00,48.00,-48.00,0,1.470000,0.040000,-0.040000,0,1.210000,0.170000,-0.170000,0,0.0900,0.0500,-0.0500,0,3.1200,0.4000,-0.5600,0
688,HD 142,2,3,6245.00,48.00,-48.00,0,1.470000,0.040000,-0.040000,0,1.210000,0.170000,-0.170000,0,0.0900,0.0500,-0.0500,0,3.1200,0.4000,-0.5600,0
689,HD 142,2,3,6245.00,48.00,-48.00,0,1.470000,0.040000,-0.040000,0,1.210000,0.170000,-0.170000,0,0.0900,0.0500,-0.0500,0,3.1200,0.4000,-0.5600,0
690,HD 142022 A,2,1,5421.00,77.00,-77.00,0,1.040000,0.030000,-0.030000,0,0.900000,0.050000,-0.050000,0,0.1900,,,0,7.0000,4.0000,-4.0000,0
691,HD 142245,3,1,4922.00,13.00,-13.00,0,4.630000,0.160000,-0.160000,0,3.500000,0.470000,-0.470000,0,0.1700,,,0,2.3000,0.3000,-0.3000,0
692,HD 142415,1,1,5940.00,28.00,-28.00,0,1.040000,0.020000,-0.020000,0,1.070000,0.100000,-0.100000,0,0.1300,,,0,1.1000,,,0
693,HD 143105,1,1,6380.00,60.00,-60.00,0,1.647304,0.011231,-0.021426,0,1.510000,0.110000,-0.110000,0,0.1500,0.0400,-0.0400,0,,,,
694,HD 143361,1,1,5507.00,10.00,-10.00,0,0.916000,0.041000,-0.041000,0,0.968000,0.027000,-0.027000,0,0.1400,0.0600,-0.0600,0,2.9420,2.7490,-2.7490,0
695,HD 143811 A,2,1,6791.00,100.00,-100.00,0,1.683980,0.056303,-0.086933,0,1.320000,0.080000,-0.080000,0,,,,,0.0180,0.0030,-0.0030,0
696,HD 144899,1,1,6126.00,149.78,-123.70,0,1.648020,0.085221,-0.070990,0,1.160000,0.164000,-0.164000,0,,,,,,,,
697,HD 145377,1,1,6014.00,20.00,-20.00,0,1.050000,0.020000,-0.020000,0,1.200000,0.140000,-0.140000,0,0.1100,,,0,1.3000,1.0000,-1.0000,0
698,HD 145457,1,1,4757.00,100.00,-100.00,0,9.900000,0.500000,-0.500000,0,1.900000,0.300000,-0.300000,0,-0.1400,0.0900,-0.0900,0,2.6050,1.6080,-1.6080,0
699,14 Her,1,2,5338.00,25.00,-25.00,0,0.930000,0.010000,-0.010000,0,0.910000,0.113000,-0.113000,0,0.4052,0.0466,-0.0466,0,3.9000,,,0
700,HD 145934,1,1,4823.75,78.09,-78.09,0,6.930587,0.171969,-0.171969,0,2.058000,0.118000,-0.118000,0,0.0951,0.0600,-0.0600,0,1.5600,0.2800,-0.3200,0
701,HD 1461,1,2,5765.00,18.00,-18.00,0,1.152288,0.027110,-0.027110,0,1.020000,,,0,0.1900,0.0100,-0.0100,0,7.1200,1.4000,-1.5600,0
702,HD 1461,1,2,5765.00,18.00,-18.00,0,1.152288,0.027110,-0.027110,0,1.020000,,,0,0.1900,0.0100,-0.0100,0,7.1200,1.4000,-1.5600,0
703,HD 147018,1,2,5441.00,55.00,-55.00,0,0.937948,0.022735,-0.014395,0,0.927000,0.031000,-0.031000,0,0.1000,0.0500,-0.0500,0,6.3600,4.3300,-4.3300,0
704,HD 147018,1,2,5441.00,55.00,-55.00,0,0.937948,0.022735,-0.014395,0,0.927000,0.031000,-0.031000,0,0.1000,0.0500,-0.0500,0,6.3600,4.3300,-4.3300,0
705,HD 147379,2,1,4090.00,50.00,-50.00,0,0.628304,0.007488,-0.007488,0,0.580000,0.080000,-0.080000,0,0.1600,0.1600,-0.1600,0,,,,
706,HD 147513,2,1,5883.00,,,0,0.980000,0.030000,-0.020000,0,1.110000,,,0,0.0600,,,0,0.3000,,,0
707,HD 14787,1,1,4946.00,,,0,5.010000,,,0,1.430000,,,0,0.0000,0.1000,-0.1000,0,,,,
708,HD 147873,2,2,5972.00,100.00,-100.00,0,2.290000,0.100000,-0.100000,0,1.380000,0.050000,-0.050000,0,0.0300,0.1000,-0.1000,0,4.0000,3.0000,-3.0000,0
709,HD 147873,2,2,5972.00,100.00,-100.00,0,2.290000,0.100000,-0.100000,0,1.380000,0.050000,-0.050000,0,0.0300,0.1000,-0.1000,0,4.0000,3.0000,-3.0000,0
710,HD 148156,1,1,6308.00,28.00,-28.00,0,1.210000,0.030000,-0.030000,0,1.220000,,,0,0.2900,0.0200,-0.0200,0,,,,
711,HD 148164,1,2,6032.00,,,0,1.340000,0.100000,-0.100000,0,1.210000,0.240000,-0.240000,0,0.2400,,,0,2.4100,0.8100,-0.8100,0
712,HD 148164,1,2,6032.00,,,0,1.340000,0.100000,-0.100000,0,1.210000,0.240000,-0.240000,0,0.2400,,,0,2.4100,0.8100,-0.8100,0
713,HD 148427,1,1,5025.00,4.00,-4.00,0,3.860000,0.120000,-0.120000,0,1.640000,0.270000,-0.270000,0,0.0800,,,0,2.5000,,,0
714,HD 149026,1,1,6179.00,15.00,-15.00,0,1.410000,0.030000,-0.030000,0,1.420000,0.330000,-0.330000,0,0.3200,,,0,2.6000,0.2000,-0.2000,0
715,HD 149143,1,1,5856.00,,,0,1.440000,0.080000,-0.080000,0,1.200000,0.200000,-0.200000,0,0.2900,,,0,4.2800,0.6800,-0.6800,0
716,HD 149806,1,1,5352.05,142.65,-116.63,0,0.890000,0.030000,-0.030000,0,0.930000,0.119000,-0.119000,0,0.2206,0.0257,-0.0257,0,8.3600,5.1200,-5.6800,0
717,HD 150010,1,1,4153.00,83.00,-83.00,0,16.200000,0.400000,-0.400000,0,1.300000,0.100000,-0.100000,0,-0.2500,0.2200,-0.2200,0,4.9000,1.1000,-1.1000,0
718,HD 1502,1,1,4947.00,,,0,4.670000,,,0,1.460000,,,0,0.0900,0.0300,-0.0300,0,2.4000,0.5000,-0.5000,0
719,HD 150706,1,1,5961.00,27.00,-27.00,0,0.960000,0.020000,-0.020000,0,1.170000,0.120000,-0.120000,0,-0.0100,0.0400,-0.0400,0,3.0000,2.0000,-2.0000,0
720,HD 151450,1,2,6091.98,129.58,-85.79,0,1.171840,0.053777,-0.041575,0,1.140000,0.160000,-0.160000,0,,,,,,,,
721,HD 151450,1,2,6091.98,129.58,-85.79,0,1.171840,0.053777,-0.041575,0,1.140000,0.160000,-0.160000,0,,,,,,,,
722,HD 152079,1,1,5907.00,52.00,-52.00,0,1.128000,0.074000,-0.074000,0,1.147000,0.030000,-0.030000,0,0.2900,0.0700,-0.0700,0,1.6220,1.3690,-1.3690,0
723,HD 152581,1,1,5027.00,,,0,5.140000,,,0,1.300000,,,0,-0.4600,0.0300,-0.0300,0,12.0000,3.0000,-3.0000,0
724,HD 152843,1,2,6310.00,100.00,-100.00,0,1.430000,0.020000,-0.020000,0,1.150000,0.040000,-0.040000,0,-0.1600,0.0500,-0.0500,0,3.9700,0.7500,-0.7500,0
725,HD 152843,1,2,6310.00,100.00,-100.00,0,1.430000,0.020000,-0.020000,0,1.150000,0.040000,-0.040000,0,-0.1600,0.0500,-0.0500,0,3.9700,0.7500,-0.7500,0
726,HD 15337,1,2,5131.00,74.00,-74.00,0,0.855000,0.008000,-0.008000,0,0.829000,0.038000,-0.038000,0,0.0300,0.0400,-0.0400,0,9.6000,3.8000,-3.9000,0
727,HD 15337,1,2,5131.00,74.00,-74.00,0,0.855000,0.008000,-0.008000,0,0.829000,0.038000,-0.038000,0,0.0300,0.0400,-0.0400,0,9.6000,3.8000,-3.9000,0
728,HD 153557,1,3,4837.00,96.07,-159.51,0,0.745171,0.063359,-0.039756,0,0.790000,0.091000,-0.091000,0,,,,,,,,
729,HD 153557,1,3,4837.00,96.07,-159.51,0,0.745171,0.063359,-0.039756,0,0.790000,0.091000,-0.091000,0,,,,,,,,
730,HD 153557,1,3,4837.00,96.07,-159.51,0,0.745171,0.063359,-0.039756,0,0.790000,0.091000,-0.091000,0,,,,,,,,
731,HD 153950,1,1,6124.00,81.00,-81.00,0,1.280000,0.040000,-0.040000,0,1.250000,0.180000,-0.180000,0,-0.0100,,,0,4.3000,1.0000,-1.0000,0
732,HD 154088,1,1,5374.00,43.00,-43.00,0,0.950000,0.030000,-0.030000,0,0.910000,0.020000,-0.020000,0,0.2800,0.0300,-0.0300,0,8.0000,2.0000,-2.0000,0
733,HD 154345,1,1,5468.00,14.00,-14.00,0,0.850000,0.010000,-0.010000,0,0.710000,0.070000,-0.070000,0,-0.1100,,,0,9.5270,1.6620,-1.6620,0
734,HD 154391,1,1,4909.00,32.00,-32.00,0,8.560000,0.050000,-0.050000,0,2.070000,0.030000,-0.030000,0,0.1000,0.0500,-0.0500,0,1.1000,0.0400,-0.0400,0
735,HD 154672,1,1,5743.00,23.00,-23.00,0,1.320000,0.020000,-0.020000,0,1.180000,0.120000,-0.120000,0,0.2500,,,0,8.0000,3.0000,-3.0000,0
736,HD 154857,1,2,5589.00,18.00,-18.00,0,2.300000,0.060000,-0.060000,0,1.960000,0.120000,-0.120000,0,-0.2200,,,0,5.6400,0.8000,-0.9200,0
737,HD 154857,1,2,5605.00,,,0,1.760000,0.057000,-0.057000,0,1.718000,0.030000,-0.022000,0,-0.2000,,,0,5.6400,0.8000,-0.9200,0
738,HD 155193,1,1,6239.00,20.00,-20.00,0,1.764390,0.074213,-0.088481,0,1.221000,0.083000,-0.083000,0,0.0500,0.0100,-0.0100,0,,,,
739,HD 155358,1,2,5905.00,13.00,-13.00,0,1.380000,0.020000,-0.020000,0,1.150000,0.080000,-0.080000,0,-0.6000,,,0,10.7000,,,0
740,HD 155358,1,2,5900.00,100.00,-100.00,0,1.380000,0.020000,-0.020000,0,0.920000,,,0,-0.5100,0.0600,-0.0600,0,10.7000,,,0
741,HD 155918,1,2,5771.84,107.21,-104.37,0,1.019060,0.041315,-0.046504,0,1.030000,0.132000,-0.132000,0,-0.6616,0.0240,-0.0240,0,12.3000,,,0
742,HD 155918,1,2,5771.84,107.21,-104.37,0,1.019060,0.041315,-0.046504,0,1.030000,0.132000,-0.132000,0,-0.6616,0.0240,-0.0240,0,12.3000,,,0
743,HD 156098,1,2,6419.19,139.97,-144.01,0,2.757160,0.119836,-0.141330,0,1.290000,0.200000,-0.200000,0,0.1200,0.0281,-0.0281,0,,,,
744,HD 156098,1,2,6419.19,139.97,-144.01,0,2.757160,0.119836,-0.141330,0,1.290000,0.200000,-0.200000,0,0.1200,0.0281,-0.0281,0,,,,
745,HD 156279,1,2,5453.00,40.00,-40.00,0,0.950000,0.020000,-0.020000,0,0.940000,0.117000,-0.117000,0,0.1400,0.0100,-0.0100,0,4.1000,3.6000,-3.7000,0
746,HD 156279,1,2,5453.00,40.00,-40.00,0,0.950000,0.020000,-0.020000,0,0.940000,0.117000,-0.117000,0,0.1400,0.0100,-0.0100,0,4.1000,3.6000,-3.7000,0
747,HD 156411,1,1,5900.00,15.00,-15.00,0,2.160000,0.090000,-0.090000,0,1.250000,,,0,-0.1200,0.0100,-0.0100,0,4.2800,0.4200,-0.4200,0
748,HD 156668,1,2,4850.00,88.00,-88.00,0,0.720000,0.013000,-0.013000,0,0.772000,0.020000,-0.020000,0,0.0500,0.0600,-0.0600,0,8.6000,4.8000,-4.8000,0
749,HD 156668,1,2,4903.69,59.64,-59.64,0,0.774528,0.012146,-0.012146,0,0.785167,0.023876,-0.023876,0,0.0493,0.0560,-0.0560,0,8.6000,4.8000,-4.8000,0
750,HD 156846,2,1,6090.00,31.00,-31.00,0,1.900000,0.040000,-0.040000,0,1.380000,0.140000,-0.140000,0,0.1500,,,0,2.4000,0.3000,-0.3000,0
751,HD 158038,1,1,4860.00,38.00,-38.00,0,4.500000,0.160000,-0.160000,0,1.300000,0.560000,-0.560000,0,0.1900,,,0,2.5000,0.3000,-0.3000,0
752,HD 158259,1,5,5801.89,124.62,-124.62,0,1.210000,0.030000,-0.080000,0,1.080000,0.100000,-0.100000,0,,,,,,,,
753,HD 158259,1,5,5801.89,124.62,-124.62,0,1.210000,0.030000,-0.080000,0,1.080000,0.100000,-0.100000,0,,,,,,,,
754,HD 158259,1,5,5801.89,124.62,-124.62,0,1.210000,0.030000,-0.080000,0,1.080000,0.100000,-0.100000,0,,,,,,,,
755,HD 158259,1,5,5801.89,124.62,-124.62,0,1.210000,0.030000,-0.080000,0,1.080000,0.100000,-0.100000,0,,,,,,,,
756,HD 158259,1,5,5801.89,124.62,-124.62,0,1.210000,0.030000,-0.080000,0,1.080000,0.100000,-0.100000,0,,,,,,,,
757,HD 158996,1,1,4069.00,30.00,-30.00,0,50.300000,4.300000,-4.300000,0,1.800000,0.300000,-0.300000,0,-0.2000,0.1000,-0.1000,0,1.6000,0.6000,-0.6000,0
758,HD 15906,1,2,4757.00,89.00,-89.00,0,0.762000,0.005000,-0.005000,0,0.790000,0.020000,-0.036000,0,0.0200,0.0400,-0.0400,0,,,,
759,HD 15906,1,2,4757.00,89.00,-89.00,0,0.762000,0.005000,-0.005000,0,0.790000,0.020000,-0.036000,0,0.0200,0.0400,-0.0400,0,,,,
760,HD 159243,1,2,6123.00,65.00,-65.00,0,1.120000,0.050000,-0.050000,0,1.125000,0.030000,-0.030000,0,0.0500,0.0400,-0.0400,0,1.2500,1.1000,-1.1000,0
761,HD 159243,1,2,6123.00,65.00,-65.00,0,1.120000,0.050000,-0.050000,0,1.125000,0.030000,-0.030000,0,0.0500,0.0400,-0.0400,0,1.2500,1.1000,-1.1000,0
762,HD 159868,1,2,5534.00,,,0,2.130000,,,0,1.190000,,,0,-0.0800,0.0100,-0.0100,0,7.5700,0.9300,-0.9300,0
763,HD 159868,1,2,5534.00,,,0,2.130000,,,0,1.190000,,,0,-0.0800,0.0100,-0.0100,0,7.5700,0.9300,-0.9300,0
764,HD 1605,1,2,4915.00,,,0,3.490000,0.220000,-0.220000,0,1.330000,0.090000,-0.090000,0,0.2200,,,0,4.3600,0.9700,-0.9700,0
765,HD 1605,1,2,4915.00,,,0,3.490000,0.220000,-0.220000,0,1.330000,0.090000,-0.090000,0,0.2200,,,0,4.3600,0.9700,-0.9700,0
766,HD 160691,1,4,5773.00,,,0,1.330000,0.020000,-0.020000,0,1.130000,0.020000,-0.020000,0,0.2800,0.0300,-0.0300,0,5.7000,0.6000,-0.6000,0
767,HD 160691,1,4,5773.00,,,0,1.330000,0.020000,-0.020000,0,1.130000,0.020000,-0.020000,0,0.2800,0.0300,-0.0300,0,5.7000,0.6000,-0.6000,0
768,HD 160691,1,4,5773.00,,,0,1.330000,0.020000,-0.020000,0,1.130000,0.020000,-0.020000,0,0.2800,0.0300,-0.0300,0,5.7000,0.6000,-0.6000,0
769,HD 160691,1,4,5773.00,,,0,1.330000,0.020000,-0.020000,0,1.130000,0.020000,-0.020000,0,0.2800,0.0300,-0.0300,0,5.7000,0.6000,-0.6000,0
